2020-09-08 13:13:47.473745
6110545431 6210545629 {'+': 269, '-': 269, ' ': 40, '?': 92} 0.18
6110545431 6210545637 {'+': 487, '-': 267, ' ': 42, '?': 72} 0.09
6110545431 6210545734 {'+': 354, '-': 268, ' ': 41, '?': 115} 0.07
6110545431 6210545971 {'+': 346, '-': 271, ' ': 38, '?': 117} 0.13
6110545431 6210545998 {'+': 350, '-': 275, ' ': 34, '?': 126} 0.11
6110545431 6210546030 {'+': 383, '-': 276, ' ': 33, '?': 72} 0.04
6110545431 6210546684 {'+': 291, '-': 247, ' ': 62, '?': 112} 0.06
6110545431 6210545599 {'+': 294, '-': 264, ' ': 45, '?': 116} 0.07
6110545431 6210545947 {'+': 283, '-': 270, ' ': 39, '?': 76} 0.1
6110545431 6210545980 {'+': 238, '-': 235, ' ': 74, '?': 142} 0.11
6110545431 6210546005 {'+': 348, '-': 262, ' ': 47, '?': 66} 0.3
6110545431 6210546382 {'+': 375, '-': 262, ' ': 47, '?': 89} 0.14
6110545431 6210545581 {'+': 297, '-': 261, ' ': 48, '?': 95} 0.09
6110545431 6110545481 {'+': 274, '-': 259, ' ': 50, '?': 116} 0.05
6110545431 6210545441 {'+': 335, '-': 278, ' ': 31, '?': 52} 0.03
6110545431 6210545611 {'+': 457, '-': 252, ' ': 57, '?': 108} 0.2
6110545431 6210545700 {'+': 404, '-': 282, ' ': 27, '?': 55} 0.15
6110545431 6210545955 {'+': 213, '-': 269, ' ': 40, '?': 89} 0.08
6110545431 6210545505 {'+': 343, '-': 284, ' ': 25, '?': 57} 0.06
6110545431 6210545548 {'+': 363, '-': 288, ' ': 21, '?': 46} 0.09
6110545431 6210546714 {'+': 355, '-': 273, ' ': 36, '?': 136} 0.17
6110545431 6210545602 {'+': 326, '-': 265, ' ': 44, '?': 168} 0.16
6110545431 6210546048 {'+': 275, '-': 273, ' ': 36, '?': 87} 0.09
6110545431 6210545513 {'+': 309, '-': 271, ' ': 38, '?': 79} 0.09
6110545431 6010546621 {'+': 272, '-': 254, ' ': 55, '?': 104} 0.1
6110545431 6210545459 {'+': 325, '-': 264, ' ': 45, '?': 73} 0.07
6110545431 6210545467 {'+': 351, '-': 276, ' ': 33, '?': 97} 0.07
6110545431 6210545475 {'+': 418, '-': 264, ' ': 45, '?': 91} 0.14
6110545431 6210545564 {'+': 435, '-': 282, ' ': 27, '?': 57} 0.06
6110545431 6210546013 {'+': 323, '-': 271, ' ': 38, '?': 94} 0.14
6110545431 6210546412 {'+': 303, '-': 297, ' ': 12, '?': 26} 0.12
6110545431 6210546439 {'+': 265, '-': 269, ' ': 40, '?': 95} 0.08
6110545431 6210546447 {'+': 317, '-': 268, ' ': 41, '?': 75} 0.07
6110545431 6210546455 {'+': 340, '-': 288, ' ': 21, '?': 97} 0.14
6110545431 6210546650 {'+': 327, '-': 246, ' ': 63, '?': 118} 0.05
6110545431 6210546706 {'+': 309, '-': 258, ' ': 51, '?': 71} 0.06
6110545431 6210545483 {'+': 386, '-': 258, ' ': 51, '?': 114} 0.06
6110545431 6210545491 {'+': 348, '-': 262, ' ': 47, '?': 89} 0.06
6110545431 6210546668 {'+': 297, '-': 266, ' ': 43, '?': 68} 0.06
6110545431 6210546374 {'+': 327, '-': 260, ' ': 49, '?': 65} 0.14
6110545431 6210545432 {'+': 275, '-': 251, ' ': 58, '?': 83} 0.07
6110545431 6110545996 {'+': 342, '-': 261, ' ': 48, '?': 89} 0.07
6110545431 6210545424 {'+': 323, '-': 274, ' ': 35, '?': 140} 0.07
6110545431 6210545556 {'+': 310, '-': 262, ' ': 47, '?': 137} 0.1
6110545431 6210546404 {'+': 345, '-': 254, ' ': 55, '?': 69} 0.05
6110545431 6210546421 {'+': 402, '-': 278, ' ': 31, '?': 85} 0.1
6110545431 6210546692 {'+': 331, '-': 257, ' ': 52, '?': 70} 0.08
6110545431 6110545601 {'+': 253, '-': 235, ' ': 74, '?': 151} 0.14
6110545431 6210545416 {'+': 284, '-': 254, ' ': 55, '?': 81} 0.15
6110545431 6210545521 {'+': 287, '-': 276, ' ': 33, '?': 78} 0.1
6110545431 6210545530 {'+': 467, '-': 281, ' ': 28, '?': 85} 0.06
6110545431 6210545572 {'+': 307, '-': 253, ' ': 56, '?': 94} 0.08
6110545431 6210545963 {'+': 314, '-': 277, ' ': 32, '?': 70} 0.11
6110545431 6210546021 {'+': 308, '-': 274, ' ': 35, '?': 62} 0.12
